Data;Descricao;ValorDolar;ValorReal
25/10/2024;Anuidade Diferenciad(02/12);0;0
22/10/2024;Paulo Cezar Rodrigues;0;37,89
21/10/2024;Swift;0;119,78
19/10/2024;Pirueta Comercial (01/02);0;89,35
19/10/2024;Lvl Comercio De Alime;0;26,7
19/10/2024;Cine A Ltda;0;43
18/10/2024;Seguro Cartao Mu- Out/24;0;10,9
18/10/2024;Dujivan;0;25
18/10/2024;Mercado Extra-0271;0;74,53
18/10/2024;Osasco;0;21
17/10/2024;Moto Speed;0;30
15/10/2024;R De S Com De Comb Ltd;0;196,52
14/10/2024;Jaguare;0;44
14/10/2024;Restaurante E Lanchon;0;48,89
13/10/2024;Cobasi Osasco;0;97,7
12/10/2024;Carrefour Big Osasco;0;161,5
11/10/2024;Rua Do Bolo Osasco Sup;0;30,9
11/10/2024;Mercadinhospltda;0;12,05
10/10/2024;Carloscesarsoares;0;30
10/10/2024;Auto Posto Jules Rimet;0;50
08/10/2024;Mercadinhospltda;0;9,9
07/10/2024;Bellevie Bistro;0;9
07/10/2024;Swift;0;91,84
07/10/2024;Bellevie Bistro;0;17
05/10/2024;Bar E Gastronomia Qui;0;89,58
03/10/2024;Wesley Yasuhiko Tanak;0;43
01/10/2024;Deb Autom De Fatura Em C/;0;-5.968,21
30/09/2024;Auto Posto Flm Ltda;0;50
29/09/2024;Sendas Distribuidora S;0;257,06
28/09/2024;Drogasil2956;0;53,91
28/09/2024;Bellevie Bistro;0;17
28/09/2024;Depositode;0;85,97
28/09/2024;Mercado Extra-0271;0;141,27
27/09/2024;Dom Feinster Pizza;0;64,9
27/09/2024;Capitaoburguer;0;55
26/09/2024;Mercadinhospltda;0;11,6
26/09/2024;Caktus;0;159,23
25/09/2024;R De S Com De Comb Ltd;0;100
23/09/2024;Bellevie Bistro;0;26
21/10/2024;Amazon Br;0;76,41
19/10/2024;Ifd*Bruno E Roberto Pi;0;52,98
16/10/2024;Shopee*Shopee Reefhous;0;22,61
15/10/2024;Mercadolivre*Fastsho(01/10);0;258,9
15/10/2024;Mercadolivre*Aquanim(01/03);0;23,68
15/10/2024;Pg *Tecnofit Crossfit;0;289
15/10/2024;Mercadolivre*Aquanima;0;35
13/10/2024;Mercadolivre*Tocadosp;0;49,4
09/10/2024;Amazon Marketplace;0;26,6
09/10/2024;Shopee *Vivarosa;0;43,2
08/10/2024;Amazon Marketplace;0;72,9
04/10/2024;Abastec*Abastece Ai;0;50
03/10/2024;Mercadolivre*4produto;0;142,93
02/10/2024;Ifd*Sushi Hino Bar E R;0;62,4
01/10/2024;Google One;0;7,99
01/10/2024;Abastec*Abastece Ai;0;221,86
28/09/2024;Google Youtubepremium;0;41,9
27/09/2024;Magalu *Magazineluiz(01/03);0;70,6
27/09/2024;Amazon Br;0;221,11
26/09/2024;Amazonprimebr;0;19,9
26/09/2024;Netflix Com;0;57,8
26/09/2024;Amazon Marketplace;0;72,9
25/09/2024;Shopee*Shopee Bpartm(01/04);0;68,76
17/09/2024;Mercadolivre*12produt;0;-0,05
17/09/2024;Mercadolivre*12produ(02/06);0;64,41
02/09/2024;Amazon Marketplace (02/02);0;67,24
20/08/2024;Mp *Emprcsbemppass (03/12);0;34,9
13/08/2024;Emerson Tadeu Libera(03/03);0;104,77
30/06/2024;Zero3games *Z061977(04/06);0;78,33
27/06/2024;Mercadolivre*Mercado(04/05);0;68,4
26/06/2024;Beto Carrero*Beto Ca(04/04);0;69,95
29/04/2024;Mlp *Netshoe(06/06);0;49,99
21/02/2024;Mercadolivre*2produt(09/10);0;127,09
